"Date","Issuance, Net","Issuance, Gross","Retirement, Gross","    Retirements, Repurchases","    Retirements, Mergers and Acquisitions"
"1996:Q4","  -8.88","  33.96","  42.84","  22.26","  20.58"
"1997:Q1"," -22.52","  25.85","  48.38","  22.64","  25.74"
"1997:Q2"," -27.20","  27.44","  54.64","  23.51","  31.12"
"1997:Q3"," -27.99","  31.47","  59.46","  25.01","  34.46"
"1997:Q4"," -28.98","  37.53","  66.50","  34.37","  32.14"
"1998:Q1"," -18.23","  40.44","  58.67","  26.64","  32.02"
"1998:Q2"," -28.94","  46.51","  75.45","  29.08","  46.36"
"1998:Q3"," -62.18","  33.78","  95.96","  41.10","  54.86"
"1998:Q4","-119.46","  44.49"," 163.95","  27.26"," 136.70"
"1999:Q1"," -14.05","  45.36","  59.41","  31.81","  27.60"
"1999:Q2"," -81.66","  73.75"," 155.41","  30.78"," 124.63"
"1999:Q3"," -25.03","  67.01","  92.04","  29.35","  62.68"
"1999:Q4","  11.23"," 107.36","  96.13","  35.97","  60.16"
"2000:Q1","  50.23"," 136.52","  86.30","  38.08","  48.22"
"2000:Q2"," -25.30"," 111.39"," 136.69","  22.85"," 113.84"
"2000:Q3","  13.70","  99.91","  86.21","  24.76","  61.45"
"2000:Q4"," -69.30","  86.48"," 155.78","  30.14"," 125.64"
"2001:Q1","  13.96","  73.36","  59.40","  25.24","  34.16"
"2001:Q2","  -4.38","  74.48","  78.86","  26.62","  52.25"
"2001:Q3"," -21.07","  46.10","  67.17","  27.69","  39.49"
"2001:Q4","   5.14","  61.60","  56.47","  24.03","  32.43"
"2002:Q1","  -2.63","  43.63","  46.25","  20.94","  25.31"
"2002:Q2","   6.29","  50.17","  43.88","  27.22","  16.66"
"2002:Q3"," -20.32","  29.32","  49.64","  27.31","  22.33"
"2002:Q4","   1.97","  35.55","  33.58","  18.89","  14.68"
"2003:Q1"," -10.25","  32.03","  42.28","  20.22","  22.06"
"2003:Q2","  -3.59","  35.94","  39.53","  22.00","  17.52"
"2003:Q3","  -0.12","  42.27","  42.39","  26.16","  16.23"
"2003:Q4","  -2.13","  48.58","  50.70","  34.34","  16.36"
"2004:Q1","   1.81","  53.52","  51.71","  31.58","  20.14"
"2004:Q2"," -15.06","  46.52","  61.58","  34.03","  27.54"
"2004:Q3"," -33.70","  41.27","  74.97","  42.37","  32.60"
"2004:Q4"," -36.13","  49.83","  85.96","  46.58","  39.38"
"2005:Q1"," -43.90","  47.04","  90.94","  52.99","  37.95"
"2005:Q2"," -51.79","  55.20"," 106.99","  63.20","  43.79"
"2005:Q3"," -74.06","  68.96"," 143.02","  66.61","  76.41"
"2005:Q4"," -82.61","  62.21"," 144.81","  90.76","  54.05"
"2006:Q1","-102.39","  66.22"," 168.61","  76.32","  92.29"
"2006:Q2"," -93.76","  91.98"," 185.74","  99.09","  86.65"
"2006:Q3","-107.94","  59.59"," 167.53","  92.02","  75.51"
"2006:Q4","-115.36"," 105.47"," 220.83","  96.35"," 124.48"
"2007:Q1"," -96.63","  95.39"," 192.03","  92.43","  99.60"
"2007:Q2","-149.32","  88.37"," 237.70"," 120.99"," 116.71"
"2007:Q3","-126.03"," 105.02"," 231.05"," 121.59"," 109.47"
"2007:Q4","-164.30"," 155.57"," 319.87","  98.39"," 221.48"
"2008:Q1","-107.71","  60.29"," 168.00","  94.68","  73.32"
"2008:Q2"," -81.10","  51.97"," 133.07","  76.16","  56.90"
"2008:Q3","-103.81","  54.42"," 158.23","  80.94","  77.28"
"2008:Q4","-135.47","  34.24"," 169.71","  45.75"," 123.96"
"2009:Q1"," -66.77","  29.10","  95.87","  26.47","  69.40"
"2009:Q2","   6.39","  44.00","  37.61","  17.86","  19.75"
"2009:Q3","  -3.24","  37.57","  40.81","  24.90","  15.92"
"2009:Q4"," -73.11","  55.98"," 129.09","  33.60","  95.49"
"2010:Q1"," -43.04","  45.64","  88.68","  40.41","  48.27"
"2010:Q2"," -40.85","  48.52","  89.38","  59.70","  29.68"
"2010:Q3"," -72.53","  42.43"," 114.96","  57.28","  57.68"
"2010:Q4"," -52.49","  71.59"," 124.08","  62.90","  61.18"
"2011:Q1"," -53.62","  64.73"," 118.35","  66.88","  51.47"
"2011:Q2","-106.89","  25.68"," 132.58","  73.47","  59.10"
"2011:Q3","-134.63","  38.96"," 173.59","  96.39","  77.21"
"2011:Q4"," -82.91","  58.01"," 140.92","  74.56","  66.36"
"2012:Q1"," -56.85","  61.24"," 118.09","  64.68","  53.41"
"2012:Q2","-100.11","  68.28"," 168.39","  84.03","  84.37"
"2012:Q3"," -85.19","  53.89"," 139.08","  65.91","  73.17"
"2012:Q4"," -71.19","  73.93"," 145.12","  86.54","  58.58"
"2013:Q1"," -40.65","  69.17"," 109.81","  77.49","  32.32"
"2013:Q2"," -92.53","  67.54"," 160.06"," 100.52","  59.54"
"2013:Q3"," -92.28","  68.74"," 161.02","  96.52","  64.50"
"2013:Q4"," -91.88"," 103.13"," 195.01"," 105.80","  89.21"
"2014:Q1","-113.09","  71.30"," 184.39"," 126.21","  58.18"
"2014:Q2"," -54.75","  78.21"," 132.96"," 100.65","  32.31"
"2014:Q3"," -78.24","  95.82"," 174.06"," 108.19","  65.87"
"2014:Q4"," -89.85","  82.15"," 172.00"," 106.26","  65.74"
"2015:Q1","-137.19"," 107.76"," 244.95"," 113.98"," 130.97"
"2015:Q2","-117.39","  89.80"," 207.20"," 101.12"," 106.08"
"2015:Q3","-147.37","  78.06"," 225.43"," 122.64"," 102.79"
"2015:Q4","-123.70","  71.28"," 194.99"," 107.65","  87.34"
"2016:Q1","-132.78"," 103.36"," 236.14"," 124.85"," 111.30"
"2016:Q2","-138.04"," 112.23"," 250.27","  99.97"," 150.30"
"2016:Q3","-118.59"," 127.36"," 245.95","  75.60"," 170.35"
"2016:Q4"," -88.64","  92.90"," 181.54","  90.18","  91.36"
"2017:Q1","-101.12"," 111.31"," 212.44","  94.17"," 118.27"
"2017:Q2"," -70.55","  94.52"," 165.07","  82.35","  82.72"
"2017:Q3","-125.90","  96.32"," 222.22","  85.61"," 136.62"
"2017:Q4"," -77.01","  96.30"," 173.31","  88.77","  84.55"
"2018:Q1","-116.78"," 110.89"," 227.66"," 144.59","  83.07"
"2018:Q2","-227.35","  93.47"," 320.82"," 140.48"," 180.34"
"2018:Q3"," -62.76"," 118.77"," 181.53"," 136.15","  45.39"
"2018:Q4","-214.32"," 106.60"," 320.92"," 149.14"," 171.78"
"2019:Q1","-155.80"," 107.27"," 263.07"," 139.16"," 123.91"
"2019:Q2"," -17.86"," 137.96"," 155.81"," 109.38","  46.44"
"2019:Q3","-100.76"," 106.52"," 207.29"," 110.80","  96.49"
"2019:Q4"," -85.95"," 137.37"," 223.32"," 120.47"," 102.85"
"2020:Q1"," -88.07"," 116.49"," 204.56"," 145.43","  59.13"
"2020:Q2","  -6.96"," 162.55"," 169.51","  80.02","  89.49"
"2020:Q3","  20.13"," 149.18"," 129.05","  90.39","  38.66"
"2020:Q4"," -20.59"," 191.35"," 211.94"," 112.05","  99.89"
"2021:Q1","  47.66"," 240.83"," 193.17"," 130.35","  62.82"
"2021:Q2","  -4.05"," 251.82"," 255.87"," 143.10"," 112.77"
"2021:Q3"," -87.72"," 230.42"," 318.14"," 156.28"," 161.86"
"2021:Q4","-112.17"," 245.12"," 357.28"," 196.84"," 160.45"
"2022:Q1","-150.14"," 177.04"," 327.18"," 222.35"," 104.84"
"2022:Q2","-151.56"," 135.68"," 287.25"," 192.95","  94.30"
"2022:Q3","-156.76"," 130.74"," 287.49"," 179.56"," 107.93"
"2022:Q4","-176.09"," 152.70"," 328.79"," 180.96"," 147.82"
